Geopolitical Entity,Category,Flag
Slovenia,Sovereign States,assets/flags/Flag_of_Slovenia-512x256.png
Solomon Islands,Sovereign States,assets/flags/Flag_of_Solomon_Islands-512x256.png
Somalia,Sovereign States,assets/flags/Flag_of_Somalia-512x341.png
Somaliland,Sovereign States,assets/flags/Flag_of_Somaliland-512x256.png
South Africa,Sovereign States,assets/flags/Flag_of_South_Africa-512x341.png
South Korea,Sovereign States,assets/flags/Flag_of_South_Korea-512x341.png
South Ossetia,Sovereign States,assets/flags/Flag_of_South_Ossetia-512x256.png
South Sudan,Sovereign States,assets/flags/Flag_of_South_Sudan-512x256.png
Spain,Sovereign States,assets/flags/Flag_of_Spain-512x341.png
Sri Lanka,Sovereign States,assets/flags/Flag_of_Sri_Lanka-512x256.png
Sudan,Sovereign States,assets/flags/Flag_of_Sudan-512x256.png
Suriname,Sovereign States,assets/flags/Flag_of_Suriname-512x341.png
Sweden,Sovereign States,assets/flags/Flag_of_Sweden-512x318.png
Switzerland,Sovereign States,assets/flags/Flag_of_Switzerland-512x512.png
Syria,Sovereign States,assets/flags/Flag_of_Syria-512x341.png
Taiwan,Sovereign States,assets/flags/Flag_of_Taiwan-512x341.png
Tajikistan,Sovereign States,assets/flags/Flag_of_Tajikistan-512x256.png
Tanzania,Sovereign States,assets/flags/Flag_of_Tanzania-512x341.png
Thailand,Sovereign States,assets/flags/Flag_of_Thailand-512x341.png
Timor-Leste,Sovereign States,assets/flags/Flag_of_Timor_Leste-512x256.png
Togo,Sovereign States,assets/flags/Flag_of_Togo-512x316.png
Tonga,Sovereign States,assets/flags/Flag_of_Tonga-512x256.png
Transnistria,Sovereign States,assets/flags/Flag_of_Transnistria-512x256.png
Trinidad and Tobago,Sovereign States,assets/flags/Flag_of_Trinidad_and_Tobago-512x307.png
Tunisia,Sovereign States,assets/flags/Flag_of_Tunisia-512x341.png
Turkey,Sovereign States,assets/flags/Flag_of_Turkey-512x341.png
Turkmenistan,Sovereign States,assets/flags/Flag_of_Turkmenistan-512x341.png
Tuvalu,Sovereign States,assets/flags/Flag_of_Tuvalu-512x256.png
Uganda,Sovereign States,assets/flags/Flag_of_Uganda-512x341.png
Ukraine,Sovereign States,assets/flags/Flag_of_Ukraine-512x341.png
United Arab Emirates,Sovereign States,assets/flags/Flag_of_United_Arab_Emirates-512x256.png
United Kingdom,Sovereign States,assets/flags/Flag_of_United_Kingdom-512x256.png
United States,Sovereign States,assets/flags/Flag_of_United_States-512x269.png
Uruguay,Sovereign States,assets/flags/Flag_of_Uruguay-512x341.png
Uzbekistan,Sovereign States,assets/flags/Flag_of_Uzbekistan-512x256.png
Vanuatu,Sovereign States,assets/flags/Flag_of_Vanuatu-512x307.png
Vatican City,Sovereign States,assets/flags/Flag_of_Vatican_City-512x512.png
Venezuela,Sovereign States,assets/flags/Flag_of_Venezuela-512x341.png
Vietnam,Sovereign States,assets/flags/Flag_of_Vietnam-512x341.png
Wales,Other Territories,assets/flags/Flag_of_Wales-512x307.png
Yemen,Sovereign States,assets/flags/Flag_of_Yemen-512x341.png
Zambia,Sovereign States,assets/flags/Flag_of_Zambia-512x341.png
Zimbabwe,Sovereign States,assets/flags/Flag_of_Zimbabwe-512x256.png
